"ID","N01B","N02B","N03B","N04B","N05B","N06B","N07B","N08B","N09B","N10B","N11B","N12B","N13B","N14B","N15B","N16B","N17B","N18B","N19B","N20B","N21B","N22B","N23B","N24B","N25B","N26B","N27B","N28B","N29B","N30B","N31B","N32B","N33B","N34B","N35B","N36B","N37B","N38B","N39B","N40B","N41B","N42B","N43B","N44B","N45B","N46B","N47B","N48B","N49B","N50B","N51B","N52B"
"f672aa3aea2d03f0b297739022e9b716",55,20,91,103,81,114,87,83,72,62,71,53,58,55,54,59,44,50,50,54,29,36,19,19,21,18,12,14,16,10,11,12,9,11,7,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,33,0
"f6e19293a298fe39488f59abeff0ca1f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,8,14,8,10,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
"f7a6f4bfc3c2f041ceb1dbd61ba7e3dd",0,0,2,2,0,2,18,24,16,21,23,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,2
"f81dc13e1278dbea2d28c103d7ea4989",2,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,0,0,2,5,19,20,27,44,28,26,13,13,10,7,15,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f8b6d5f236e49a64fabf6350bea195f7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,30,42,37,39,12,6,8,7,2,2,0,3,0,5,5,4,7,3,5,4,0,0,1,0,2
"f8ea8661b894df89d7204b3c2bd53e82",0,0,0,0,0,5,0,6,4,0,4,0,9,7,0,5,0,12,0,0,4,10,13,9,11,7,14,5,20,26,12,14,13,18,17,8,7,11,5,10,0,5,0,5,0,0,3,4,4,4,0,0
"f8ff38b5087f3dc66d6d08b8005155e3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,8,25,226,84,495,233,8,8,3
"f908a38600f83fdc81be5d4d19e1c44e",37,12,162,52,77,60,36,39,69,70,31,88,94,58,77,61,51,63,54,48,81,52,67,100,33,58,43,37,48,51,38,36,25,30,138,44,220,58,44,32,92,67,45,41,78,70,60,94,50,45,33,75
"f9611261649b8ab1497714f9a6114215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,67,138,22,0,0,0,14,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f993ee065add3a4f847ce38f36c2de17",24,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,18,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f9bbf6068ad62cde43cc5458e7eefb33",0,0,0,0,0,0,0,0,0,0,0,8,12,6,9,10,7,7,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fa3be2840777c910e6ffcce73ddc962d",0,0,10,0,11,8,7,0,11,8,7,12,7,4,12,7,6,0,6,0,16,10,10,19,5,8,11,7,9,12,8,7,12,8,15,11,14,21,9,12,20,10,14,13,14,7,11,9,3,0,0,0
"fa6c0be817ef2536a174d63c93eb0b64",0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"fa743d03a943c0e715807b028b345bfd",0,13,0,0,0,0,3,1,0,0,0,0,10,4,18,8,12,9,13,2,11,11,9,13,0,0,0,3,10,7,7,5,0,0,0,0,0,0,0,3,0,0,3,6,0,0,0,0,0,0,0,0
"fa9040b500668665355884083ce87b95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,16,17,12,17,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fab8af155ae183bc753a90c1ce866a06",40,12,20,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fb04baa62548fb8c0c17170ba2cf2fc8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,15,21,5,4,0,0
"fb25ee67f3066ba40aeb816675537504",0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fb3cb66ec4d317eace8dbf6806a3a240",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fb4dc497ea47effb4e92bb71f9c4270a",0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fc7b257064027e1bc2b6fbfb4584677d",0,10,9,15,11,14,12,0,12,9,9,13,9,0,0,10,0,16,11,13,20,27,17,23,28,23,11,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12
"fd44d4cb468fd7dc9b3227867714ed87",0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fd51a842b055ba7397777c7387903392",0,0,0,6,0,4,9,7,12,12,19,15,9,11,21,13,14,8,9,3,11,8,14,9,3,0,6,5,10,14,7,8,0,0,0,0,0,0,9,13,8,0,7,8,6,17,17,56,4,31,16,6
"fe5d0b24f93dda79e679c9df68fa54c1",49,9,8,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
